Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
1735,953.072,821.916,893.256,-0.824372,0.377112,0.422135,0.0131939,0.325015,0.329099,0.106962,0.0744875,294,65
1733,949.582,815.205,893.761,0.702374,-0.549392,-0.452592,0.0165006,1.21822,0.423809,0.516294,0.315929,308,63
1732,946.813,811.506,894.502,-0.332569,0.866991,-0.371113,0.0235204,0.611548,0.444838,0.27204,0.158667,159,68
1731,949.58,817.875,895.569,-0.98235,0.0541291,-0.179048,0.0157463,0.262636,0.168495,0.0442529,0.0367908,93,79
1730,951.173,817.489,893.197,0.682098,-0.672438,-0.287351,0.0141357,0.472408,0.423627,0.200125,0.0989282,314,73
1743,941.175,807.464,896.908,0.672481,-0.494919,-0.550295,0.0192796,1.56493,0.739765,1.15768,0.403027,306,56
1728,945.683,810.968,895.861,0.313735,-0.855343,0.412261,0.00625557,0.192152,0.241859,0.0464737,0.038945,159,65
1727,943.683,808.556,893.154,0.13609,-0.977411,-0.161702,0.021367,0.341698,0.274425,0.0937702,0.0649781,352,80
1726,944.349,808.836,893.833,-0.0675016,-0.976634,0.204034,0.0155137,0.16781,0.295328,0.0495589,0.0443872,183,78
1725,950.289,816.036,893.466,-0.763301,0.643836,0.0533596,0.0133309,0.326184,0.266558,0.0869469,0.0531244,310,86
1724,949.798,818.274,897.639,0.916777,-0.211651,-0.338709,0.0197871,0.379121,0.422951,0.16035,0.0518844,282,70
